Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
1,2015,LensKart,NA,NA,"TPG Growth, TR Capital, IDG Ventures",Private Equity,"21,50,000"
2,2015,VioletStreet,NA,NA,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",SeedFunding,"3,15,000"
3,2015,Lookup,NA,NA,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",SeedFunding,"3,80,000"
4,2015,#Fame,NA,NA,TO THE NEW Ventures,Private Equity,"1,00,00,000"
5,2015,Gympik,NA,NA,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,"1,35,000"
6,2015,Near.in,NA,NA,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,"2,85,000"
7,2015,Purplle.com,NA,NA,IvyCap Ventures,Private Equity,NA
8,2015,NumberMall,NA,NA,SRI Capital,Private Equity,"1,00,00,000"
9,2015,Tookitaki,NA,NA,"Jungle Ventures, Redbright Partners, Blume Ventures",PrivateEquity,"10,00,000"
10,2015,Frankly,NA,NA,Matrix Partners,Seed Funding,"6,00,000"
11,2015,Faircent,NA,NA,"Devesh Sachdev, Ashish Tiwari",Seed Funding,NA
12,2015,Nurturey,NA,NA,Seedrs Crowd funding platform,Crowd funding,"1,25,000"
13,2015,Bewakoof,NA,NA,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,NA
14,2015,Stridalyzer,NA,NA,Kickstarter,Crowd Funding,"30,768"
15,2015,Commonfloor,NA,NA,Google Capital,Private Equity,"50,00,000"
16,2015,Sokrati,NA,NA,"IvyCap Ventures, Inventus Capital",Private Equity,NA
17,2015,YepMe,NA,NA,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,"1,30,00,000"
18,2015,TapCibo,NA,NA,Alok Goel,Seed Funding,NA
19,2015,Verayu,NA,NA,"GWB Group, Blume Ventures",Private Equity,NA
20,2015,MyDreamStore,NA,NA,Undisclosed Investors,Seed Funding,"2,90,000"
21,2015,AppVirality,NA,NA,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,NA
22,2015,RateGain,NA,NA,TA Associates,Private Equity,"5,00,00,000"
23,2015,Wishberry,NA,NA,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,"6,50,000"
24,2015,eKincare,NA,NA,Adroitent Pvt. Ltd.,Seed Funding,"1,61,000"
25,2015,ShopClues,NA,NA,Tiger Global & Other investors,Private Equity,"10,00,00,000"
26,2015,Refiral,NA,NA,Cogent E Services,Seed Funding,"3,30,000"
27,2015,Ping Digital,NA,NA,Consortium of Angel Investors,Seed Funding,NA
28,2015,HealthyWorld.in,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
29,2015,Hostel Dunia,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
30,2015,Play your sport,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
31,2015,Yo Grad,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
32,2015,Enabli,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
33,2015,CBS,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
34,2015,Hopscotch,NA,NA,Eduardo Saverin & Velos Capital,Private Equity,"1,10,00,000"
35,2015,Amagi Media Labs,NA,NA,Premji Invest & Mayfield Fund,Private Equity,NA
36,2015,HealthyWorld.in,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
37,2015,Simplilearn,NA,NA,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,"1,47,50,000"
38,2015,MyDreamStore,NA,NA,Undisclosed Investors,Seed Funding,"3,25,000"
39,2015,Knit,NA,NA,"Rohit Jain, Amit Rambhia & Others",Seed Funding,NA
40,2015,Villgro,NA,NA,Michael & Susan Dell Foundation,Seed Funding,"32,50,000"
41,2015,Corporate360,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
42,2015,Freshmonk,NA,NA,"August Capital Partners, Michael Blakey",Seed Funding,NA
43,2015,Englishleap.com,NA,NA,ANALEC,Private Equity,NA
44,2015,Antuit,NA,NA,"Goldman Sachs, Zodius Capital",Private Equity,"5,60,00,000"
45,2015,Caratlane.com,NA,NA,Tiger Global,Private Equity,"3,10,00,000"
46,2015,Aasaanjobs,NA,NA,"Inventus Capital Partners, IDG Ventures",Seed Funding,"15,00,000"
47,2015,Impartus,NA,NA,Kaizen Private Equity,Private Equity,NA
48,2015,Thrill App,NA,NA,People Group (Shaadi.com),Private Equity,"10,00,000"
49,2015,CarDekho.com,NA,NA,"Hillhouse Capital, Tybourne Capital",Private Equity,"5,00,00,000"
50,2015,Grabhouse.com,NA,NA,"Kalaari Capital, Sequoia Capital",Private Equity,"25,00,000"
51,2015,Printvenue,NA,NA,Asia Pacific Internet Group,Private Equity,"45,00,000"
52,2015,Graphene,NA,NA,KARSEMVEN Fund,Private Equity,"8,25,000"
53,2015,Mad Street Den,NA,NA,"Exfinity Fund, GrowX Ventures.",Private Equity,"15,00,000"
54,2015,Simplotel,NA,NA,MakeMyTrip,Private Equity,NA
55,2015,couponmachine.in,NA,NA,UK based Group of Angel Investors,Seed Funding,"1,40,000"
56,2015,Faaya,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
57,2015,InstaBounce,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
58,2015,Chloroplast Foods,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
59,2015,Dealwithus,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
60,2015,CleverSharks,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
61,2015,Leaf,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
62,2015,SmartPocket,NA,NA,"Sol Primero, Rajiv Mehta",SeedFunding,"2,50,000"
63,2015,Yumist,NA,NA,Orios Venture Partner,Private Equity,"10,00,000"
64,2015,NowFloats,NA,NA,Omidyar Network,Private Equity,NA
65,2015,FirstCry,NA,NA,Valiant Capital Partners,Private Equity,"2,60,00,000"
66,2015,HolaChef,NA,NA,India Quotient,SeedFunding,"3,25,000"
67,2015,Frsh.co.in,NA,NA,"India Quotient, Kae Capital",SeedFunding,"5,18,000"
68,2015,Manthan,NA,NA,"Temasek, Norwest Venture Partners",Private Equity,"6,00,00,000"
69,2015,Kobster.com,NA,NA,Splice Advisors,SeedFunding,NA
70,2015,Culture Machine,NA,NA,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"1,80,00,000"
71,2015,Paytm,NA,NA,Ant Financial Services (Alipay),Private Equity,NA
72,2015,Aisle.co,NA,NA,"Anand Vijay, Shashank Mehrotra & Others",SeedFunding,"1,00,000"
73,2015,FreeCharge,NA,NA,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"8,00,00,000"
74,2015,NewsHunt,NA,NA,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,"4,00,00,000"
75,2015,MyNoticePeriod,NA,NA,IDG Ventures,Private Equity,"30,00,000"
76,2015,CarDekho.com,NA,NA,Ratan Tata,Private Equity,NA
77,2015,Faaso’s,NA,NA,Lightbox Ventures,Private Equity,"2,00,00,000"
78,2015,CarTrade.com,NA,NA,Chip Perry,Private Equity,NA
79,2015,StoreKing,NA,NA,Mangrove Capital Partners,Private Equity,NA
80,2015,Capital Float,NA,NA,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,"1,30,00,000"
81,2015,Nimble Wireless,NA,NA,AngelPrime,SeedFunding,"30,00,000"
82,2015,Townscript,NA,NA,Group of Angel Investors,SeedFunding,NA
83,2015,FindYahan,NA,NA,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",SeedFunding,NA
84,2015,Stayzilla,NA,NA,"Nexus Venture Partners, Matrix Partners",Private Equity,"2,00,00,000"
85,2015,Practo,NA,NA,"Sequoia Capital, Matrix Partners",Private Equity,"3,00,00,000"
86,2015,CimplyFive,NA,NA,"Suresh Senapaty, TV Mohandas Pai",SeedFunding,NA
87,2015,20Dresses,NA,NA,"Srinivas Aluri, Srinivas Modukury, BS Nagesh",SeedFunding,"10,00,000"
88,2015,Itzcash,NA,NA,Ashok Goel (promoter),Private Equity,"1,65,00,000"
89,2015,NewsInShorts,NA,NA,"Tiger Global, Rebright Partners, Sachin and Binny Bansal",Private Equity,"41,50,000"
90,2015,iTraveller.com,NA,NA,ah! Ventures,Private Equity,"10,00,000"
91,2015,NextGen,NA,NA,Mumbai Angels & Group of other investors,SeedFunding,NA
92,2015,Wooplr.com,NA,NA,Helion Venture Partners,Private Equity,"50,00,000"
93,2015,Springleap,NA,NA,Cross Border Angels,SeedFunding,"8,00,000"
94,2015,Klip.in,NA,NA,"Calcutta Angels, Venture Nursery Angels Mumbai Angels",SeedFunding,"5,00,000"
95,2015,Renderlogy,NA,NA,Brick Eagle,Private Equity,"16,00,000"
96,2015,Appbase,NA,NA,"DA-IICT, Techstars, Carnegie Mellon University, Startup Brasil program",SeedFunding,"2,90,000"
97,2015,HomeLane,NA,NA,"Sequoia Capital, Ranjan Pai, Mohandas Pai & others",Private Equity,"45,00,000"
98,2015,Trip38,NA,NA,"InterGlobe Technology Quotient, Lantern Capital",Private Equity,"10,00,000"
99,2015,Smartairtrip.com,NA,NA,Undisclosed,Private Equity,"1,00,00,000"
100,2015,NoBroker,NA,NA,"SAIF Partners, Fulcrum Ventures",Private Equity,"30,00,000"
101,2015,Caravan Craft Retail,NA,NA,"Unitus Seed FundNarayan Ramachandran, Bijou Kurien",SeedFunding,"5,00,000"
102,2015,SquadRun,NA,NA,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",SeedFunding,NA
103,2015,Clonect Solutions,NA,NA,"V Balakrishnan, T V Mohandas Pai, BC Prabhakar",SeedFunding,"2,50,000"
104,2015,TaxSutra,NA,NA,"V Balakrishnan, T V Mohandas Pai",SeedFunding,"1,60,000"
105,2015,PepperTap,NA,NA,Sequoia Capital,SeedFunding,NA
106,2015,Sattviko,NA,NA,"Sumit Jain, Rajat Jain, Sanjay Bhasin",SeedFunding,"3,20,000"
107,2015,IndustryBuying,NA,NA,SAIF Partners,Private Equity,"20,00,000"
108,2015,FreshWorld,NA,NA,"Kris Gopalakrishnan, Nagaraja Prakasam",SeedFunding,NA
109,2015,TinyOwl,NA,NA,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,"1,60,00,000"
110,2015,Momoe,NA,NA,"IDG Ventures India, Jungle Ventures, India Quotient.",SeedFunding,"12,00,000"
111,2015,Grofers,NA,NA,"Tiger Global Management, Sequoia Capital India",Private Equity,"1,00,00,000"
112,2015,TrulyMadly.com,NA,NA,"Helion Venture Partners, Kae Capital",Private Equity,"55,00,000"
113,2015,InstaLively,NA,NA,Group of Angel Investors,Seed Funding,"1,20,000"
114,2015,Vserv,NA,NA,"Maverick Capital, IDG Ventures India",Private Equity,"1,50,00,000"
115,2015,Intruo.com,NA,NA,"Ashutosh Lawania, Alok Goel & others",Seed Funding,NA
116,2015,Niffler,NA,NA,SAIF Partners,Seed Funding,"10,00,000"
117,2015,CustomFurnish.com,NA,NA,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,"25,00,000"
118,2015,MapMyGenome,NA,NA,Rajan Anandan & other angel investors,Private Equity,"12,00,000"
119,2015,Crowdfire(formerly Justunfollow),NA,NA,Kalaari Capital,Private Equity,"25,00,000"
120,2015,Bite Club,NA,NA,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"5,00,000"
121,2015,Localbanya,NA,NA,Shrem Strategies,Private Equity,NA
122,2015,Appedo,NA,NA,Undisclosed Investors,Seed Funding,"10,00,000"
123,2015,Fitraq.com,NA,NA,Tarun Arora,Seed Funding,"1,50,000"
124,2015,ChargeBee,NA,NA,"Tiger Global, Accel Partners",Private Equity,"50,00,000"
125,2015,Groupon India,NA,NA,Sequoia Capital,Private Equity,"2,00,00,000"
126,2015,Process 9,NA,NA,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,NA
127,2015,MoonFrog Labs,NA,NA,"Tiger Global, Sequoia Capital.",Private Equity,"1,50,00,000"
128,2015,Foodpanda,NA,NA,Rocket Internet AG & others,Private Equity,"11,00,00,000"
129,2015,Paytm,NA,NA,Ratan Tata,Private Equity,NA
130,2015,DiabetOmics,NA,NA,"VentureEast,  Varaprasad Reddy",Private Equity,"50,00,000"
131,2015,Qyk,NA,NA,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,NA
132,2015,Daily Rounds,NA,NA,"Kae Capital, GSF, Teruhide Sato",Seed Funding,"5,00,000"
133,2015,Orobind,NA,NA,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,"2,00,000"
134,2015,Routofy,NA,NA,"Kunal Bahl, Rohit Bansal",Seed Funding,NA
135,2015,Digital Gorkha,NA,NA,Ramesh kavediya,Seed Funding,"1,66,000"
136,2015,NestAway,NA,NA,"IDG Ventures, Naveen Tewari",Seed Funding,"13,00,000"
137,2015,The Better India,NA,NA,I-cube-N,Seed Funding,"1,66,000"
138,2015,Meru Cabs,NA,NA,Value Fund Advisors,Private Equity,"5,00,00,000"
139,2015,GolfLAN,NA,NA,YourNest Angel Fund,Seed Funding,NA
140,2015,Drivestream,NA,NA,Wipro,Private Equity,"50,00,000"
141,2015,wWhere,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
142,2015,GoJavas,NA,NA,Snapdeal,Private Equity,NA
143,2015,Tripoto,NA,NA,"IDG Ventures, Outbox Ventures",Private Equity,"20,00,000"
144,2015,Graphic India,NA,NA,"CA Media LP,  Start Media.",Seed Funding,"28,00,000"
145,2015,Harness Handitouch,NA,NA,Armat Group,Private Equity,NA
146,2015,Lets Corp,NA,NA,Wu Chay Chin,Seed Funding,"30,00,000"
147,2015,CollateBox,NA,NA,LetsVenture,Seed Funding,"1,80,000"
148,2015,Mahindra First Choice,NA,NA,Valiant Capital,Private Equity,"1,50,00,000"
149,2015,Round One,NA,NA,"HT Media, Arun Duggal",Seed Funding,NA
150,2015,RazorPay,NA,NA,Y Combinator,Seed Funding,"1,20,000"
151,2015,Mosambee,NA,NA,RVCF and SIDBI,Private Equity,NA
152,2015,Furlenco,NA,NA,LightBox Ventures,Private Equity,"60,00,000"
153,2015,Cubito,NA,NA,Sol Primero,Seed Funding,"1,60,000"
154,2015,Teabox,NA,NA,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,"60,00,000"
155,2015,Artoo,NA,NA,"Accion Venture Labs, Rianta Capital",Private Equity,"5,00,000"
156,2015,Fxkart.com,NA,NA,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,"20,00,000"
157,2015,Rozgar Mela,NA,NA,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,NA
158,2015,OYO Rooms,NA,NA,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,"2,50,00,000"
159,2015,Roposo.com,NA,NA,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"50,00,000"
160,2015,Teewe,NA,NA,"Sequoia Capital, India Quotient",Seed Funding,"17,50,000"
161,2015,ePoise,NA,NA,Undisclosed,Seed Funding,NA
162,2015,Urjas,NA,NA,Solidarity Venture Capital & others,Seed Funding,"1,00,000"
163,2015,Chargein,NA,NA,Pittie Group,Seed Funding,"1,00,000"
164,2015,Yogurt Labs,NA,NA,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"1,15,000"
165,2015,LimeRoad.com,NA,NA,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"3,00,00,000"
166,2015,Team Indus,NA,NA,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"15,00,000"
167,2015,Arohan Financial Services,NA,NA,Tano Capital,Private Equity,"1,00,00,000"
168,2015,BillDesk,NA,NA,TA Associates,Private Equity,"7,50,00,000"
169,2015,Triphobo,NA,NA,"Mayfield Ventures, Kalaari Capital",Private Equity,"30,00,000"
170,2015,Aryaka,NA,NA,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"1,60,00,000"
171,2015,Appsdaily,NA,NA,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",Private Equity,"1,60,00,000"
172,2015,Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"20,00,000"
173,2015,Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"2,00,000"
174,2015,KeepTrax,Location Based App,Dallas / Hyderabad,NA,Seed Funding,"10,00,000"
175,2015,InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"1,20,000"
176,2015,Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"1,65,000"
177,2015,Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"15,00,00,000"
178,2015,PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"22,00,000"
179,2015,LogiNext,Logistics Tech,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,NA
180,2015,FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures",Private Equity,"1,00,00,000"
181,2015,MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"2,50,00,000"
182,2015,Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"40,00,00,000"
183,2015,Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,"2,00,000"
184,2015,Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"20,00,000"
185,2015,Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,"1,65,000"
186,2015,Urban Ladder,Online FurnishingeCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"5,00,00,000"
187,2015,Purple Squirrel,Ed-Tech,Mumbai,"Matrix Partners India, India Quotient",Private Equity,NA
188,2015,Whatfix,Interactive  How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"9,00,000"
189,2015,iMMi Life,Mobile Health Tech,Chennai,Unitus Seed Fund,Seed Funding,NA
190,2015,Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,"2,50,00,000"
191,2015,ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"1,00,00,000"
192,2015,Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,"3,00,000"
193,2015,The Porter,Logistics Tech,Mumbai,Kae Capital,Seed Funding,"5,00,000"
194,2015,Commeasure,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,"10,00,000"
195,2015,Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,"12,50,000"
196,2015,LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"50,00,000"
197,2015,Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"3,50,00,000"
198,2015,PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"1,00,00,000"
199,2015,PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"4,00,00,000"
200,2015,UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"16,00,000"
201,2015,Taskbob,OnDemandMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"12,00,000"
202,2015,Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"1,20,00,000"
203,2015,Doormint,On-Demand Handyman Services,Mumbai,Powai Lake Ventures,Seed Funding,NA
204,2015,Vyomo,Beauty & Wellness Mobile App,Gurgaon,YouWeCan Ventures,Seed Funding,NA
205,2015,Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,"40,00,000"
206,2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"60,00,000"
207,2015,Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"5,00,00,000"
208,2015,Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,"2,80,00,000"
209,2015,FindYahan,Hyperlocal services marketplace,New Delhi,The Phoenix Fund,Private Equity,NA
210,2015,Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,"35,00,000"
211,2015,Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"15,00,000"
212,2015,Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"1,50,00,000"
213,2015,Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"1,80,00,000"
214,2015,HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"18,00,000"
215,2015,happay,business expense management,Bangalore,AngelPrime,Seed Funding,"5,00,000"
216,2015,Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"10,00,000"
217,2015,EazyDiner,Restaurant reservation app,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,NA
218,2015,Phone Warrior,Spam Call block App,New Delhi,Lightspeed Ventures,Seed Funding,NA
219,2015,Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"1,20,00,000"
220,2015,Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,"3,50,000"
221,2015,Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"10,00,000"
222,2015,LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,  91SpringBoard",Seed Funding,"4,00,000"
223,2015,GIBBS,Clean Tech,New Delhi,Infuse Ventures fund,Private Equity,NA
224,2015,Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,"1,00,00,000"
225,2015,Urban Ladder,Online Furniture ecommerce,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,NA
226,2015,Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,"2,50,000"
227,2015,Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"2,15,00,000"
228,2015,ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"10,00,000"
229,2015,Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"60,00,000"
230,2015,Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,"35,00,000"
231,2015,Dazo,Mobile Food Ordering app,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,NA
232,2015,Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,"4,00,000"
233,2015,PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"5,00,000"
234,2015,Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"80,00,000"
235,2015,Foodpanda,Online Food Delivery,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,"10,00,00,000"
236,2015,Termsheet,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"1,00,000"
237,2015,Applicate,Workforce Management Software,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"5,50,000"
238,2015,World Art Community,Online Art Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,"2,00,000"
239,2015,SpoonJoy,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,"10,00,000"
240,2015,Seed Schools,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,"6,50,000"
241,2015,Ignis Careers,Career Development,Hyderabad,Acumen Fund,Seed Funding,"2,50,000"
242,2015,Square Yards,Real Estate Advisory,Gurgaon,Undisclosed Investors,Private Equity,"60,00,000"
243,2015,Fintellix,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"1,50,00,000"
244,2015,Customer360,Customer Engagement Platform,Mumbai,Vishwas Patel,Seed Funding,NA
245,2015,Delhivery,Ecommerce Logistics,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"8,50,00,000"
246,2015,Swiggy,Online Food Delivery,Bangalore,Norwest Venture Partners,Private Equity,"1,50,00,000"
247,2015,Uniphore,Speech Recognition Solutions,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,NA
248,2015,Box8,Online Food Delivery,Mumbai,Mayfield Ventures,Private Equity,"35,00,000"
249,2015,Toppr,Online Education Platform,Mumbai,"Fidelity Growth Partners India, SAIF Partners,  Helion Ventures",Private Equity,"1,00,00,000"
250,2015,Vedantu,Online Education Platform,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000"
251,2015,BuyHatke,Online Product Comparison,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"10,00,000"
252,2015,KleverKid,Online Education Platform,New Delhi,Aarin Capital Partners,Seed Funding,NA
253,2015,Uniken,Online Security Platform,Pune,Exfinity Ventures,Private Equity,"20,00,000"
254,2015,GrandOpinion,Online Medical Diagnostic,New Delhi,Florida based Angel investor,Seed Funding,"1,50,000"
255,2015,HealthifyMe,Health & Fitness App,Bangalore,Micromax Informatics,Private Equity,NA
256,2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"20,00,000"
257,2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"20,00,000"
258,2015,Mobiefit,Mobile Fitness App,Goa,Prototyze,Seed Funding,NA
259,2015,Plancess,Online Education Platform,Mumbai,"Rajendra Gogri,  Chandrakant Gogri",Seed Funding,"20,00,000"
