Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2446,2017,OncoStem,Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000"
2447,2017,Power2SME,eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000"
2448,2017,Credit Vidya,Consumer Internet,Mumbai,Matrix Partners,Private Equity,"50,00,000"
2449,2017,Tails Life,Consumer Internet,Bangalore,V Balakrishnan.,Private Equity,NA
2450,2017,OYO Rooms,Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000"
2451,2017,Early Salary,Consumer Internet,Pune,IFMR Capital,Debt Funding,"7,80,000"
2452,2017,MamaEarth,eCommerce,Gurgaon,Fireside Ventures,Seed Funding,NA
2453,2017,Seniority,eCommerce,Pune,RPG Enterprises,Private Equity,"10,00,000"
2454,2017,AYE Finance,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,"69,00,000"
2455,2017,Farmizen,Technology,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,NA
2456,2017,Ecom Express,Logistics,New Delhi,Warburg Pincus,Private Equity,"3,00,00,000"
2457,2017,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"62,00,000"
2458,2017,Sattviko,eCommerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,NA
2459,2017,3HCare,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,"1,00,000"
2460,2017,Tonbo Imaging,Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"1,70,00,000"
2461,2017,Get My Parking,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"30,00,000"
2462,2017,WittyFeed,Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,NA
2463,2017,Glowroad,Consumer Internet,Bangalore,"Accel Partners,",Private Equity,"20,00,000"
2464,2017,OYO Rooms,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,"1,00,00,000"
2465,2017,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"1,15,00,000"
2466,2017,Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"7,80,000"
2467,2017,Gurukul,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,NA
2468,2017,Smaaash,Technology,Mumbai,ECL Finance,Private Equity,"4,40,00,000"
2469,2017,WheelStreet,Consumer Portal,Bangalore,Y Combinator,Seed Funding,"1,20,000"
2470,2017,Xprep,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,NA
2471,2017,The Moms Co,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"10,00,000"
2472,2017,Noticeboard,Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,NA
2473,2017,High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"5,00,00,000"
2474,2017,HWell24 Plus,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,NA
2475,2017,SaveBC,Finance,Gaya,Incofin Investment Management.,Private Equity,"60,00,000"
2476,2017,Gaming Monk,Consumer Internet,New Delhi,AdvantEdge,Private Equity,NA
2477,2017,91SpringBoard,Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,NA
2478,2017,Homergize,eCommerce,Bangalore,LG Chandrasekhar,Private Equity,"10,00,000"
2479,2017,Yatra.com,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,"1,54,00,000"
2480,2017,Ace Turtle,Technology,Bangalore,InnoVen Capital,Private Equity,NA
2481,2017,Vogo,Consumer Internet,Bangalore,AV Thomas Group,Seed Funding,NA
2482,2017,Synup,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,"60,00,000"
2483,2017,Tinmen,Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,NA
2484,2017,Cropin,Technology,Bangalore,Beenext,Private Equity,NA
2485,2017,Rapido,Consumer Internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,"4,22,000"
2486,2017,Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,"1,50,000"
